Id,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,HalfBath,GarageCars,GarageArea,TotRmsAbvGrd,Fireplaces,Neighborhood,HouseStyle,RoofStyle,Exterior1st,KitchenQual,HeatingQC,CentralAir,SaleCondition,SalePrice,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area
1,6648,3,7,1981,914,1171,6,1,2,4,902,12,3,NAmes,1Story,Gable,MetalSd,Gd,Ex,Y,Family,470644,54.0,6648.0,3.0,1981,1993.0,404.0,1018.0,914.0,1523,1414,1171,0,1,2,12,,4,902.0
2,17719,7,3,1970,1731,1993,3,2,0,2,466,5,3,CollgCr,1.5Fin,Hip,CemntBd,TA,Ex,N,Normal,699866,43.0,17719.0,7.0,1970,1976.0,252.0,954.0,1731.0,1806,486,1993,2,2,0,5,1970.0,2,466.0
3,5582,7,8,2023,787,3485,1,1,2,1,294,3,1,CollgCr,SLvl,Hip,BrkFace,TA,Gd,N,Partial,850367,75.0,5582.0,7.0,2023,2042.0,13.0,201.0,787.0,1716,100,3485,0,1,2,3,2023.0,1,294.0
4,11748,4,5,2018,1002,1269,4,4,1,4,936,8,0,Edwards,1Story,Hip,BrkFace,TA,Ex,Y,Partial,600172,71.0,11748.0,4.0,2018,2034.0,184.0,1644.0,,645,1527,1269,1,4,1,8,2020.0,4,936.0
5,19358,9,10,1968,1084,1171,2,3,2,4,989,8,3,NridgHt,2Story,Gable,CemntBd,Fa,Ex,Y,Normal,710024,68.0,19358.0,9.0,1968,1972.0,283.0,1479.0,1084.0,1581,973,1171,2,3,2,8,1968.0,4,989.0
6,8242,9,4,1999,1563,3040,4,3,2,0,174,6,2,NridgHt,1Story,Hip,BrkFace,Gd,Fa,Y,Partial,876963,57.0,8242.0,9.0,1999,2001.0,293.0,961.0,1563.0,2320,550,3040,2,3,2,6,2000.0,0,174.0
7,8854,4,7,2014,2494,1414,2,3,0,4,1015,4,2,Mitchel,1Story,Gable,Wd Sdng,TA,Gd,Y,Abnorml,681476,53.0,,4.0,2014,2022.0,188.0,1559.0,2494.0,524,762,1414,1,3,0,4,2015.0,4,1015.0
8,5580,4,10,1958,2181,3736,2,2,2,3,800,5,2,Sawyer,2Story,Flat,MetalSd,,Fa,N,Family,809454,109.0,5580.0,4.0,1958,1971.0,239.0,1719.0,2181.0,1239,41,3736,0,2,2,5,1959.0,3,800.0
9,17794,4,6,1978,262,1984,1,2,2,1,221,3,0,Edwards,1Story,Gable,Wd Sdng,Ex,Gd,N,Family,561454,51.0,17794.0,4.0,1978,1988.0,411.0,655.0,262.0,2412,691,1984,1,2,2,3,1980.0,1,221.0
10,7335,10,6,2010,1667,1379,1,1,2,3,750,6,3,Mitchel,1Story,Flat,VinylSd,Ex,Fa,N,Normal,723130,115.0,7335.0,10.0,2010,2026.0,282.0,416.0,1667.0,1148,1674,1379,0,1,2,6,2010.0,3,750.0
